------------------------------------------------------------------- 
   ID               X               Y               Z  START    END 
------------------------------------------------------------------- 
    1 -0.10000000E+00  0.00000000E+00 -0.10000000E+00      1      3 
    2  0.10000000E+00  0.00000000E+00 -0.10000000E+00      4      6 
    3  0.10000000E+00  0.00000000E+00  0.10000000E+00      7      9 
    4 -0.10000000E+00  0.00000000E+00  0.10000000E+00     10     12 
    5 -0.10000000E+00  0.10000000E+01 -0.10000000E+00     13     15 
    6  0.10000000E+00  0.10000000E+01 -0.10000000E+00     16     18 
    7  0.10000000E+00  0.10000000E+01  0.10000000E+00     19     21 
    8 -0.10000000E+00  0.10000000E+01  0.10000000E+00     22     24 
    9 -0.10000000E+00  0.20000000E+01 -0.10000000E+00     25     27 
   10  0.10000000E+00  0.20000000E+01 -0.10000000E+00     28     30 
   11  0.10000000E+00  0.20000000E+01  0.10000000E+00     31     33 
   12 -0.10000000E+00  0.20000000E+01  0.10000000E+00     34     36 
